"Date","Spot exchange rate, Sterling into US$  						[a] [a] [a] 						XUDLGBD"
"31 Dec 24","0.7982"
"30 Dec 24","0.7993"
"27 Dec 24","0.7951"
"24 Dec 24","0.7975"
"23 Dec 24","0.7988"
"20 Dec 24","0.7974"
"19 Dec 24","0.7968"
"18 Dec 24","0.7879"
"17 Dec 24","0.7868"
"16 Dec 24","0.788"
"13 Dec 24","0.7927"
"12 Dec 24","0.7881"
"11 Dec 24","0.7847"
"10 Dec 24","0.7851"
"09 Dec 24","0.7815"
"06 Dec 24","0.7847"
"05 Dec 24","0.7839"
"04 Dec 24","0.7869"
"03 Dec 24","0.7898"
"02 Dec 24","0.7919"
"29 Nov 24","0.7869"
"28 Nov 24","0.7885"
"27 Nov 24","0.7888"
"26 Nov 24","0.796"
"25 Nov 24","0.7967"
"22 Nov 24","0.7983"
"21 Nov 24","0.7926"
"20 Nov 24","0.7903"
"19 Nov 24","0.7896"
"18 Nov 24","0.7911"
"15 Nov 24","0.7919"
"14 Nov 24","0.7869"
"13 Nov 24","0.7859"
"12 Nov 24","0.7835"
"11 Nov 24","0.777"
"08 Nov 24","0.7729"
"07 Nov 24","0.7694"
"06 Nov 24","0.7758"
"05 Nov 24","0.7691"
"04 Nov 24","0.7704"
"01 Nov 24","0.7716"
"31 Oct 24","0.7779"
"30 Oct 24","0.7686"
"29 Oct 24","0.769"
"28 Oct 24","0.7704"
"25 Oct 24","0.7698"
"24 Oct 24","0.7716"
"23 Oct 24","0.7723"
"22 Oct 24","0.7707"
"21 Oct 24","0.7691"
"18 Oct 24","0.7671"
"17 Oct 24","0.7694"
"16 Oct 24","0.7687"
"15 Oct 24","0.7637"
"14 Oct 24","0.7658"
"11 Oct 24","0.7648"
"10 Oct 24","0.7664"
"09 Oct 24","0.765"
"08 Oct 24","0.7638"
"07 Oct 24","0.7646"
"04 Oct 24","0.7626"
"03 Oct 24","0.7629"
"02 Oct 24","0.7547"
"01 Oct 24","0.7525"
"30 Sep 24","0.7456"
"27 Sep 24","0.7459"
"26 Sep 24","0.7465"
"25 Sep 24","0.7477"
"24 Sep 24","0.7469"
"23 Sep 24","0.749"
"20 Sep 24","0.753"
"19 Sep 24","0.7547"
"18 Sep 24","0.7569"
"17 Sep 24","0.7583"
"16 Sep 24","0.7576"
"13 Sep 24","0.7602"
"12 Sep 24","0.7646"
"11 Sep 24","0.7683"
"10 Sep 24","0.7659"
"09 Sep 24","0.7646"
"06 Sep 24","0.7599"
"05 Sep 24","0.76"
"04 Sep 24","0.7598"
"03 Sep 24","0.7637"
"02 Sep 24","0.7604"
"30 Aug 24","0.7608"
"29 Aug 24","0.7601"
"28 Aug 24","0.7568"
"27 Aug 24","0.7556"
"23 Aug 24","0.7582"
"22 Aug 24","0.7632"
"21 Aug 24","0.7657"
"20 Aug 24","0.7674"
"19 Aug 24","0.77"
"16 Aug 24","0.7758"
"15 Aug 24","0.7781"
"14 Aug 24","0.7779"
"13 Aug 24","0.7798"
"12 Aug 24","0.7822"
"09 Aug 24","0.7835"
"08 Aug 24","0.7865"
"07 Aug 24","0.7861"
"06 Aug 24","0.7871"
"05 Aug 24","0.7838"
"02 Aug 24","0.7809"
"01 Aug 24","0.7817"
"31 Jul 24","0.7786"
"30 Jul 24","0.7796"
"29 Jul 24","0.7784"
"26 Jul 24","0.778"
"25 Jul 24","0.7766"
"24 Jul 24","0.7741"
"23 Jul 24","0.7747"
"22 Jul 24","0.7744"
"19 Jul 24","0.7742"
"18 Jul 24","0.7705"
"17 Jul 24","0.7684"
"16 Jul 24","0.7723"
"15 Jul 24","0.7702"
"12 Jul 24","0.7699"
"11 Jul 24","0.7738"
"10 Jul 24","0.7794"
"09 Jul 24","0.7814"
"08 Jul 24","0.7792"
"05 Jul 24","0.7814"
"04 Jul 24","0.7836"
"03 Jul 24","0.7836"
"02 Jul 24","0.7889"
"01 Jul 24","0.7907"
"28 Jun 24","0.791"
"27 Jun 24","0.7905"
"26 Jun 24","0.7922"
"25 Jun 24","0.7892"
"24 Jun 24","0.7882"
"21 Jun 24","0.792"
"20 Jun 24","0.7883"
"19 Jun 24","0.7855"
"18 Jun 24","0.7881"
"17 Jun 24","0.7886"
"14 Jun 24","0.7895"
"13 Jun 24","0.7833"
"12 Jun 24","0.7787"
"11 Jun 24","0.7867"
"10 Jun 24","0.7863"
"07 Jun 24","0.7859"
"06 Jun 24","0.7829"
"05 Jun 24","0.7837"
"04 Jun 24","0.7825"
"03 Jun 24","0.783"
"31 May 24","0.7855"
"30 May 24","0.785"
"29 May 24","0.7865"
"28 May 24","0.7827"
"24 May 24","0.7851"
"23 May 24","0.7867"
"22 May 24","0.7859"
"21 May 24","0.786"
"20 May 24","0.7869"
"17 May 24","0.7875"
"16 May 24","0.7894"
"15 May 24","0.7906"
"14 May 24","0.7944"
"13 May 24","0.796"
"10 May 24","0.7995"
"09 May 24","0.7992"
"08 May 24","0.8004"
"07 May 24","0.7966"
"03 May 24","0.7971"
"02 May 24","0.801"
"01 May 24","0.8005"
"30 Apr 24","0.7988"
"29 Apr 24","0.7969"
"26 Apr 24","0.8024"
"25 Apr 24","0.8007"
"24 Apr 24","0.8043"
"23 Apr 24","0.8043"
"22 Apr 24","0.811"
"19 Apr 24","0.8042"
"18 Apr 24","0.8036"
"17 Apr 24","0.8032"
"16 Apr 24","0.8037"
"15 Apr 24","0.8031"
"12 Apr 24","0.8042"
"11 Apr 24","0.7988"
"10 Apr 24","0.7958"
"09 Apr 24","0.789"
"08 Apr 24","0.7907"
"05 Apr 24","0.7927"
"04 Apr 24","0.7894"
"03 Apr 24","0.7925"
"02 Apr 24","0.7957"
"28 Mar 24","0.7916"
"27 Mar 24","0.7918"
"26 Mar 24","0.7919"
"25 Mar 24","0.7908"
"22 Mar 24","0.7936"
"21 Mar 24","0.7894"
"20 Mar 24","0.7867"
"19 Mar 24","0.7867"
"18 Mar 24","0.7854"
"15 Mar 24","0.7849"
"14 Mar 24","0.7845"
"13 Mar 24","0.7814"
"12 Mar 24","0.7822"
"11 Mar 24","0.7809"
"08 Mar 24","0.7763"
"07 Mar 24","0.7819"
