p,d,q,AIC,BIC,converged
2,1,2,-7061.238944569642,-7032.886801958688,True
2,1,0,-7060.120133571039,-7043.108848004467,True
0,1,2,-7059.947151390032,-7042.93586582346,True
3,1,0,-7058.632874139713,-7035.95116005095,True
0,1,3,-7058.418715479568,-7035.737001390806,True
2,1,1,-7058.29337469267,-7035.611660603908,True
0,1,1,-7058.243573119471,-7046.902716075089,True
1,1,2,-7058.203206258881,-7035.521492170119,True
1,1,0,-7058.02796665068,-7046.687109606299,True
0,1,0,-7057.62361403152,-7051.95318550933,True
1,1,1,-7057.514725725125,-7040.503440158553,True
4,1,0,-7056.639066836008,-7028.2869242250545,True
0,1,4,-7056.462224257426,-7028.110081646472,True
1,1,3,-7056.384963802047,-7028.032821191094,True
4,1,1,-7054.643138089277,-7020.620566956133,True
1,1,4,-7054.633878718045,-7020.611307584901,True
3,1,2,-7054.585496862121,-7020.562925728977,True
2,1,3,-7054.4727179948,-7020.450146861656,True
2,1,4,-7053.585176303124,-7013.89217664779,True
4,1,2,-7052.592637254171,-7012.899637598836,True
3,1,3,-7052.532514658877,-7012.839515003542,True
4,1,3,-7050.540581567409,-7005.177153389884,True
