p,q,AIC,BIC,converged
2,2,12687.629234891258,12721.651806024402,True
3,2,12688.068756943732,12727.761756599068,True
3,3,12688.321971968784,12733.685400146309,True
1,1,12689.910444336414,12712.592158425177,True
2,1,12690.363628094452,12718.715770705405,True
1,2,12690.54682904062,12718.898971651573,True
3,1,12692.22279593796,12726.245367071104,True
1,3,12692.422068525879,12726.444639659023,True
4,1,12692.564924966007,12732.257924621343,True
1,4,12692.738744049833,12732.431743705169,True
2,4,12695.2471413091,12740.610569486626,True
