date,Actual Yield (%),Random Walk gap (bps),AR(2) gap (bps),MA(2) gap (bps),"ARMA(2,2) gap (bps)","ARIMA(2, 1, 2) gap (bps)"
2022-09-28,4.0517,-38.23999999999997,-38.82719272898818,-38.769526529385615,-40.41705402197202,-39.79716001096669
2022-09-29,4.121,-31.30999999999995,-32.07907658533102,-31.98194301482271,-35.55275268590172,-33.961194767145656
2022-09-30,4.1021,-33.19999999999999,-34.03148704017518,-33.92981366982957,-39.61235569207035,-36.47022479873661
2022-10-03,3.9766,-45.75,-46.64026119997122,-46.53768432483649,-54.23030083471292,-49.396356352741
2022-10-04,3.9036,-53.05,-53.99843157958726,-53.895554979843396,-63.69289335425465,-56.919345080298015
2022-10-05,4.0527,-38.140000000000015,-39.14657627370586,-39.04342563485024,-50.85267176422672,-42.14265388680394
2022-10-06,4.2134,-22.06999999999999,-23.134717808181637,-23.031296289857117,-36.938655866804204,-26.152122023138524
2022-10-07,4.2826,-15.149999999999952,-16.272859177606236,-16.16916694486399,-32.089891048483295,-19.279540859666167
2022-10-10,4.5445,11.040000000000028,9.858999469958007,9.962962400129083,-8.049633730262773,6.882173623882526
2022-10-11,4.4839,4.980000000000029,3.7408581185337297,3.8450917451222644,-16.18198267029909,0.8052992874092446
2022-10-12,4.5387,10.460000000000047,9.162716767202639,9.267221090115374,-12.845818941814713,6.275232927763419
2022-10-13,4.3034,-13.070000000000004,-14.425424584122482,-14.320649564891585,-38.448969160365735,-17.26077222325637
2022-10-14,4.3868,-4.72999999999999,-6.143565935447093,-6.038520219898391,-32.247204862486356,-8.92435461818053
