p,AIC,BIC,loglikelihood,convergence_flag
7,12874.008992983934,12925.254428913518,-6428.004496491967,0
8,12874.773394638605,12931.712767893698,-6427.386697319303,0
6,12875.827332904155,12921.37883150823,-6429.913666452077,0
9,12876.142909386495,12938.776219967098,-6427.071454693248,0
10,12877.80782691732,12946.13507482343,-6426.90391345866,0
5,12888.339705844606,12928.19726712317,-6437.169852922303,0
4,12892.594226553845,12926.757850506901,-6440.297113276923,0
3,12897.325152134414,12925.79483876196,-6443.662576067207,0
2,12916.84297598395,12939.618725285985,-6454.421487991975,0
1,12947.397200542833,12964.479012519361,-6470.698600271417,0
