model,parameter,estimate
ARCH(7),omega,10.431103795630587
ARCH(7),alpha[1],0.1118332542596411
ARCH(7),alpha[2],0.12144655152858749
ARCH(7),alpha[3],0.08370757328759301
ARCH(7),alpha[4],0.03868355393658585
ARCH(7),alpha[5],0.06132253373161971
ARCH(7),alpha[6],0.10385710735637417
ARCH(7),alpha[7],0.046052164592781594
ARCH(7),nu,8.442385498662638
"GARCH(1,1)",omega,1.0011184618818663
"GARCH(1,1)",alpha[1],0.08867379313557462
"GARCH(1,1)",beta[1],0.8704136342774884
"GARCH(1,1)",nu,8.051835633925817
"EGARCH(1,1,1)",omega,0.0252206959618532
"EGARCH(1,1,1)",alpha[1],0.08394642537110249
"EGARCH(1,1,1)",gamma[1],0.02120653329341793
"EGARCH(1,1,1)",beta[1],0.9930982000434531
"EGARCH(1,1,1)",nu,7.245011688575516
"GJR-GARCH(1,1,1)",omega,0.9680928787640889
"GJR-GARCH(1,1,1)",alpha[1],0.10565742935745302
"GJR-GARCH(1,1,1)",gamma[1],-0.043474821314411036
"GJR-GARCH(1,1,1)",beta[1],0.8764433858589751
"GJR-GARCH(1,1,1)",nu,8.152235151334384
"TARCH(1,1,1)",omega,0.05991132858946959
"TARCH(1,1,1)",alpha[1],0.06335076118370744
"TARCH(1,1,1)",gamma[1],-0.024625979462688876
"TARCH(1,1,1)",beta[1],0.948962228547637
"TARCH(1,1,1)",nu,7.399100162268452
