p,AIC,BIC,loglikelihood,convergence_flag
7,12380.663683656978,12431.64702572455,-6181.331841828489,0
6,12381.205452869941,12426.523979152227,-6182.6027264349705,0
8,12381.972146035028,12438.620303887885,-6180.986073017514,0
9,12383.688818258173,12446.001791896317,-6180.844409129087,0
10,12385.544438161343,12453.522227584772,-6180.772219080672,0
5,12390.32010218947,12429.973812686469,-6188.160051094735,0
4,12393.166016772133,12427.154911483847,-6190.5830083860665,0
3,12394.810631724566,12423.134710650995,-6192.405315862283,0
2,12409.470205323123,12432.129468464265,-6200.7351026615615,0
1,12427.144180844596,12444.138628200453,-6210.572090422298,0
