model,parameter,estimate
ARCH(7),omega,11.357099629490602
ARCH(7),alpha[1],0.07974738151822663
ARCH(7),alpha[2],0.09876796520598934
ARCH(7),alpha[3],0.07896296983277383
ARCH(7),alpha[4],0.029577178498560713
ARCH(7),alpha[5],0.06016634166318543
ARCH(7),alpha[6],0.08960675746027374
ARCH(7),alpha[7],0.03652622776763861
ARCH(7),nu,8.069792993871854
"GARCH(1,1)",omega,1.330284990011546
"GARCH(1,1)",alpha[1],0.08040380044238837
"GARCH(1,1)",beta[1],0.8580754853814582
"GARCH(1,1)",nu,7.654902935330658
"EGARCH(1,1,1)",omega,0.0866988823859497
"EGARCH(1,1,1)",alpha[1],0.1212634692364706
"EGARCH(1,1,1)",gamma[1],0.013829819797917982
"EGARCH(1,1,1)",beta[1],0.9726647372513938
"EGARCH(1,1,1)",nu,7.332955719849704
"GJR-GARCH(1,1,1)",omega,1.330956489772051
"GJR-GARCH(1,1,1)",alpha[1],0.09248703427903479
"GJR-GARCH(1,1,1)",gamma[1],-0.02603580461143668
"GJR-GARCH(1,1,1)",beta[1],0.8588372366169161
"GJR-GARCH(1,1,1)",nu,7.686159111380489
"TARCH(1,1,1)",omega,0.10455601290421807
"TARCH(1,1,1)",alpha[1],0.06342453307155142
"TARCH(1,1,1)",gamma[1],-0.014605426991343083
"TARCH(1,1,1)",beta[1],0.9345271753374806
"TARCH(1,1,1)",nu,7.242183879233612
