DATE,XUDLGBD,IUDSNZC,IUDMNZC,IUDLNZC
02 Jan 2014,0.6084,1.9782,3.1625,3.7449
03 Jan 2014,0.6081,1.9771,3.1579,3.7305
06 Jan 2014,0.6093,1.9293,3.1053,3.7073
07 Jan 2014,0.6098,1.9185,3.0831,3.6906
08 Jan 2014,0.6072,1.9674,3.114,3.706
09 Jan 2014,0.6074,1.9732,3.1076,3.7136
10 Jan 2014,0.6066,1.8904,3.0124,3.6557
13 Jan 2014,0.6104,1.8339,2.9638,3.6196
14 Jan 2014,0.6075,1.8417,2.9593,3.6197
15 Jan 2014,0.6116,1.8766,2.9968,3.6521
16 Jan 2014,0.6118,1.8244,2.9422,3.6214
17 Jan 2014,0.6081,1.8561,2.9634,3.6359
20 Jan 2014,0.609,1.8577,2.9516,3.6297
21 Jan 2014,0.6074,1.8741,2.9568,3.6319
22 Jan 2014,0.6031,1.9401,2.995,3.6457
23 Jan 2014,0.6013,1.8738,2.9291,3.6091
24 Jan 2014,0.606,1.8303,2.8906,3.5849
27 Jan 2014,0.6034,1.8454,2.9011,3.5987
28 Jan 2014,0.603,1.877,2.9319,3.6276
29 Jan 2014,0.6042,1.8145,2.8858,3.6007
30 Jan 2014,0.6061,1.8113,2.8716,3.5852
31 Jan 2014,0.6085,1.7819,2.8347,3.5521
03 Feb 2014,0.6123,1.7643,2.822,3.534
04 Feb 2014,0.6136,1.7536,2.8262,3.541
05 Feb 2014,0.6133,1.7293,2.8178,3.5418
06 Feb 2014,0.6126,1.776,2.8765,3.5814
07 Feb 2014,0.61,1.7422,2.843,3.5635
10 Feb 2014,0.6098,1.7445,2.8554,3.5783
11 Feb 2014,0.6066,1.7713,2.8655,3.5868
12 Feb 2014,0.603,1.8843,2.9467,3.639
13 Feb 2014,0.6011,1.8503,2.9125,3.6124
14 Feb 2014,0.5976,1.8687,2.9202,3.6001
17 Feb 2014,0.5984,1.8505,2.9105,3.5932
18 Feb 2014,0.5989,1.8167,2.8837,3.5828
19 Feb 2014,0.5983,1.7928,2.8666,3.5718
20 Feb 2014,0.6003,1.8612,2.9421,3.6162
21 Feb 2014,0.5993,1.8418,2.92,3.5986
24 Feb 2014,0.6013,1.8286,2.9076,3.5811
25 Feb 2014,0.5994,1.8166,2.8807,3.5699
26 Feb 2014,0.6009,1.8031,2.859,3.5561
27 Feb 2014,0.5998,1.7619,2.8089,3.5243
28 Feb 2014,0.5967,1.798,2.8561,3.5484
03 Mar 2014,0.5982,1.7438,2.7912,3.5036
04 Mar 2014,0.5998,1.7735,2.8314,3.5205
05 Mar 2014,0.5977,1.7915,2.8581,3.5402
06 Mar 2014,0.5982,1.823,2.9093,3.5794
07 Mar 2014,0.598,1.8293,2.9217,3.5895
10 Mar 2014,0.6012,1.8407,2.9295,3.5955
11 Mar 2014,0.6014,1.8296,2.9174,3.5819
12 Mar 2014,0.6022,1.8116,2.8831,3.5628
13 Mar 2014,0.5996,1.7647,2.8268,3.5267
14 Mar 2014,0.6014,1.7515,2.799,3.4916
17 Mar 2014,0.6008,1.7674,2.8114,3.4988
18 Mar 2014,0.6034,1.7708,2.8103,3.4869
19 Mar 2014,0.6014,1.7814,2.8267,3.5217
20 Mar 2014,0.6057,1.8482,2.9001,3.5949
21 Mar 2014,0.6063,1.8471,2.8815,3.5666
24 Mar 2014,0.6065,1.8082,2.8299,3.5244
25 Mar 2014,0.6058,1.826,2.8449,3.5419
26 Mar 2014,0.6037,1.8185,2.8328,3.5425
27 Mar 2014,0.602,1.8035,2.8054,3.5269
28 Mar 2014,0.6011,1.8616,2.857,3.5585
31 Mar 2014,0.5998,1.8714,2.8687,3.5515
01 Apr 2014,0.6011,1.8668,2.8762,3.5542
02 Apr 2014,0.6011,1.8913,2.9067,3.5731
03 Apr 2014,0.6029,1.8684,2.887,3.5614
04 Apr 2014,0.6028,1.8048,2.8226,3.5187
07 Apr 2014,0.602,1.7861,2.8003,3.5099
08 Apr 2014,0.5971,1.8139,2.8298,3.5327
09 Apr 2014,0.5971,1.8112,2.8307,3.5301
10 Apr 2014,0.5961,1.7356,2.7498,3.4723
11 Apr 2014,0.5981,1.7363,2.748,3.4655
14 Apr 2014,0.5976,1.7604,2.7709,3.4886
15 Apr 2014,0.5977,1.7349,2.737,3.4682
16 Apr 2014,0.5956,1.7841,2.7682,3.48
17 Apr 2014,0.595,1.8244,2.7938,3.488
22 Apr 2014,0.5944,1.8843,2.8518,3.5229
23 Apr 2014,0.596,1.8378,2.8088,3.4983
24 Apr 2014,0.5952,1.8652,2.8276,3.5146
25 Apr 2014,0.5948,1.8195,2.7714,3.4765
28 Apr 2014,0.595,1.8476,2.8041,3.4978
29 Apr 2014,0.5937,1.8714,2.8274,3.5119
30 Apr 2014,0.5922,1.857,2.8078,3.4992
01 May 2014,0.5919,1.8377,2.7788,3.4795
02 May 2014,0.5927,1.8504,2.7778,3.4706
06 May 2014,0.5885,1.8998,2.7919,3.4732
07 May 2014,0.5894,1.9054,2.8,3.474
08 May 2014,0.5899,1.8836,2.7859,3.4631
09 May 2014,0.5938,1.9158,2.8213,3.4828
12 May 2014,0.5927,1.9663,2.872,3.5099
13 May 2014,0.5939,1.909,2.8223,3.4742
14 May 2014,0.5961,1.8054,2.7331,3.4245
15 May 2014,0.5954,1.7495,2.6619,3.385
16 May 2014,0.5942,1.7917,2.7023,3.405
19 May 2014,0.5943,1.8097,2.7227,3.4146
20 May 2014,0.5936,1.8374,2.7551,3.4459
21 May 2014,0.5925,1.8689,2.7852,3.4639
22 May 2014,0.5932,1.8757,2.7954,3.4734
23 May 2014,0.5938,1.8524,2.7745,3.4623
27 May 2014,0.5951,1.8591,2.7786,3.4678
28 May 2014,0.5986,1.7784,2.687,3.413
29 May 2014,0.5982,1.7673,2.6701,3.3905
30 May 2014,0.5962,1.7997,2.7029,3.412
02 Jun 2014,0.5968,1.8387,2.7511,3.4518
03 Jun 2014,0.5974,1.8755,2.7952,3.4748
04 Jun 2014,0.5969,1.9103,2.8411,3.4978
05 Jun 2014,0.5955,1.884,2.8259,3.4879
06 Jun 2014,0.5956,1.8735,2.8064,3.4828
09 Jun 2014,0.5955,1.9119,2.841,3.5112
10 Jun 2014,0.5966,1.9435,2.8713,3.5258
11 Jun 2014,0.5957,1.9322,2.8595,3.5106
12 Jun 2014,0.5938,1.9424,2.8599,3.5109
13 Jun 2014,0.5896,2.0278,2.8882,3.5064
16 Jun 2014,0.5887,2.0412,2.8901,3.4974
17 Jun 2014,0.5893,2.0641,2.914,3.5004
18 Jun 2014,0.5904,2.0169,2.8739,3.4867
19 Jun 2014,0.5863,2.0294,2.8693,3.4936
20 Jun 2014,0.5876,2.0646,2.9033,3.5136
23 Jun 2014,0.588,2.0343,2.872,3.4977
24 Jun 2014,0.5892,2.0372,2.8782,3.4935
25 Jun 2014,0.5889,1.9589,2.789,3.4365
26 Jun 2014,0.588,1.9571,2.7763,3.4257
27 Jun 2014,0.5877,1.9612,2.7755,3.4254
30 Jun 2014,0.5849,1.9945,2.812,3.4523
01 Jul 2014,0.5835,2.033,2.8415,3.4643
02 Jul 2014,0.5824,2.0829,2.8878,3.4778
03 Jul 2014,0.5833,2.0761,2.8951,3.4894
04 Jul 2014,0.5832,2.0865,2.9023,3.497
07 Jul 2014,0.5838,2.0647,2.8764,3.488
08 Jul 2014,0.5841,1.9936,2.8017,3.4414
09 Jul 2014,0.5835,2.0115,2.807,3.4363
10 Jul 2014,0.5844,1.9816,2.7711,3.4067
11 Jul 2014,0.5847,1.9543,2.7479,3.3993
14 Jul 2014,0.5852,1.9532,2.7539,3.3951
15 Jul 2014,0.5833,2.0106,2.796,3.4108
16 Jul 2014,0.5834,2.0124,2.7984,3.4109
17 Jul 2014,0.585,1.9495,2.7373,3.3615
18 Jul 2014,0.5859,1.9457,2.7175,3.3331
21 Jul 2014,0.586,1.9298,2.7033,3.3241
22 Jul 2014,0.5862,1.956,2.7282,3.3287
23 Jul 2014,0.5868,1.9288,2.6961,3.3053
24 Jul 2014,0.5891,1.9791,2.746,3.3274
25 Jul 2014,0.5891,1.9477,2.7074,3.3065
28 Jul 2014,0.5882,1.959,2.716,3.3169
29 Jul 2014,0.5901,1.9285,2.6772,3.2937
30 Jul 2014,0.5916,1.9744,2.7296,3.3191
31 Jul 2014,0.5923,1.9847,2.7598,3.3233
01 Aug 2014,0.5939,1.9321,2.6986,3.2682
04 Aug 2014,0.5938,1.9159,2.6793,3.2467
05 Aug 2014,0.5927,1.9546,2.7239,3.2671
06 Aug 2014,0.5941,1.9106,2.6544,3.2073
07 Aug 2014,0.5937,1.8942,2.6332,3.18
08 Aug 2014,0.5953,1.8669,2.5934,3.1272
11 Aug 2014,0.5956,1.9023,2.6336,3.1832
12 Aug 2014,0.595,1.8915,2.6232,3.2025
13 Aug 2014,0.599,1.8194,2.5891,3.1942
14 Aug 2014,0.5993,1.8046,2.5786,3.1705
15 Aug 2014,0.5993,1.7507,2.5052,3.0805
18 Aug 2014,0.598,1.8192,2.5746,3.1363
19 Aug 2014,0.6018,1.7797,2.5381,3.1101
20 Aug 2014,0.6007,1.8118,2.5594,3.1214
21 Aug 2014,0.6025,1.7917,2.547,3.119
22 Aug 2014,0.6035,1.8011,2.5525,3.1225
26 Aug 2014,0.6032,1.7426,2.4761,3.0682
27 Aug 2014,0.603,1.683,2.3913,2.9993
28 Aug 2014,0.6031,1.6963,2.3896,2.979
29 Aug 2014,0.6021,1.6987,2.3916,2.9663
01 Sep 2014,0.6019,1.7178,2.4121,2.9755
02 Sep 2014,0.6058,1.7475,2.4605,3.0392
03 Sep 2014,0.6078,1.7753,2.4983,3.0769
04 Sep 2014,0.6098,1.7891,2.5199,3.1078
05 Sep 2014,0.6127,1.7498,2.497,3.1062
08 Sep 2014,0.6188,1.7173,2.4975,3.1303
09 Sep 2014,0.6209,1.7344,2.5058,3.1463
10 Sep 2014,0.6193,1.7541,2.5316,3.1848
11 Sep 2014,0.616,1.7612,2.5311,3.1708
12 Sep 2014,0.6162,1.8035,2.5728,3.1923
15 Sep 2014,0.616,1.8059,2.5761,3.192
16 Sep 2014,0.6166,1.8023,2.568,3.1865
17 Sep 2014,0.6126,1.8204,2.5566,3.1698
18 Sep 2014,0.6102,1.8803,2.6255,3.2242
19 Sep 2014,0.613,1.8678,2.5806,3.1479
22 Sep 2014,0.6125,1.8493,2.545,3.1123
23 Sep 2014,0.6112,1.8302,2.5237,3.0872
24 Sep 2014,0.6117,1.8347,2.5183,3.073
25 Sep 2014,0.6126,1.8108,2.4982,3.0719
26 Sep 2014,0.6156,1.8135,2.5002,3.0861
29 Sep 2014,0.6157,1.7987,2.4827,3.0675
30 Sep 2014,0.6168,1.781,2.4682,3.0612
01 Oct 2014,0.6172,1.7268,2.4116,3.0307
02 Oct 2014,0.6204,1.6927,2.3853,3.0084
03 Oct 2014,0.6265,1.7398,2.4365,3.0491
06 Oct 2014,0.6247,1.7061,2.4027,3.0285
07 Oct 2014,0.6217,1.6456,2.336,2.9637
08 Oct 2014,0.622,1.603,2.2963,2.9383
09 Oct 2014,0.6187,1.5959,2.3095,2.9645
10 Oct 2014,0.6238,1.5605,2.2674,2.9365
13 Oct 2014,0.6228,1.4931,2.2092,2.8913
14 Oct 2014,0.6282,1.4473,2.1823,2.8629
15 Oct 2014,0.6273,1.2806,2.0366,2.7532
16 Oct 2014,0.6242,1.3955,2.1241,2.8071
17 Oct 2014,0.6213,1.5116,2.2388,2.9067
20 Oct 2014,0.6199,1.4772,2.2001,2.8842
21 Oct 2014,0.6199,1.4899,2.2128,2.9087
22 Oct 2014,0.623,1.5119,2.2431,2.9227
23 Oct 2014,0.6238,1.5373,2.2813,2.9497
24 Oct 2014,0.6218,1.5453,2.2817,2.9499
27 Oct 2014,0.6198,1.5249,2.2594,2.9322
28 Oct 2014,0.619,1.5408,2.2812,2.964
29 Oct 2014,0.6192,1.5482,2.3055,2.9801
30 Oct 2014,0.6241,1.5353,2.2799,2.9582
31 Oct 2014,0.625,1.5647,2.3054,2.9766
03 Nov 2014,0.6259,1.6013,2.3315,2.9874
04 Nov 2014,0.6247,1.562,2.282,2.9457
05 Nov 2014,0.6259,1.5879,2.3087,2.9604
06 Nov 2014,0.6288,1.5785,2.3011,2.9577
07 Nov 2014,0.6312,1.5424,2.2655,2.9264
10 Nov 2014,0.6301,1.5267,2.247,2.9078
11 Nov 2014,0.63,1.57,2.288,2.939
12 Nov 2014,0.6317,1.5195,2.2447,2.9141
13 Nov 2014,0.6355,1.5059,2.2378,2.9184
14 Nov 2014,0.6391,1.4619,2.199,2.8887
17 Nov 2014,0.639,1.4307,2.1757,2.8823
18 Nov 2014,0.6392,1.4405,2.1797,2.8902
19 Nov 2014,0.6383,1.4597,2.1937,2.8997
20 Nov 2014,0.6368,1.4208,2.1574,2.8697
21 Nov 2014,0.6378,1.377,2.1118,2.8312
24 Nov 2014,0.637,1.3831,2.1079,2.8067
25 Nov 2014,0.6359,1.3494,2.0634,2.7571
26 Nov 2014,0.6332,1.324,2.029,2.7149
27 Nov 2014,0.636,1.2868,1.9828,2.6678
28 Nov 2014,0.6384,1.3003,1.9853,2.6605
01 Dec 2014,0.6361,1.2676,1.9482,2.6366
02 Dec 2014,0.6389,1.3461,2.028,2.7189
03 Dec 2014,0.6364,1.3929,2.0653,2.714
04 Dec 2014,0.6369,1.3711,2.0438,2.7058
05 Dec 2014,0.6414,1.4124,2.0704,2.7123
08 Dec 2014,0.6402,1.3872,2.0288,2.6911
09 Dec 2014,0.6373,1.3209,1.953,2.6155
10 Dec 2014,0.6372,1.3394,1.975,2.6254
11 Dec 2014,0.637,1.3318,1.9647,2.6093
12 Dec 2014,0.6369,1.2411,1.8612,2.5219
15 Dec 2014,0.6405,1.2515,1.8776,2.5239
